,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
261,What is the nationality of Glenn Robinson III?,['Glenn Robinson III'],['glenn robinson iii'],['Glenn Robinson III'],['Glenn Robinson'],['Glenn Robinson III']
262,What is a film that charles strouse contributed music for?,['Charles Strouse'],['charles strouse'],['charles strouse'],[],['charles strouse']
263,where was eduard boltrushevich born,['Eduard Boltrushevich'],['eduard boltrushevich'],['eduard boltrushevich'],['boltrush'],['eduard boltrushevich']
264,What genre is the Bonnie and Clyde film?,['Bonnie and Clyde'],['bonnie and clyde film'],['Bonnie and Clyde'],['Bonnie and Clyde'],['Bonnie and Clyde']
265,what country was mike's murder filmed,"[""Mike's Murder""]",['mike'],['mike'],[],['mike']
266,What type of space object is 20553 donaldhowk,['20553 Donaldhowk'],['20553 donaldhowk'],[],[],['donaldhowk']
267,Where did haim amsalem begin his life?,['Haim Amsalem'],['haim amsalem'],['haim amsalem'],[],['haim amsalem']
268,What royal line does francis i of france come from?,['Francis I of France'],"['francis i', 'france']",['france'],[],"['francis i', 'france']"
269,whats the language for the film  frøken kirkemus,['Frøken Kirkemus'],['frøken kirkemus'],['frøken kirkemus'],[],['frÃ¸ken kirkemus']
270,which city was james brown born,['James Brown'],['james brown'],['james brown'],[],['james brown']
271,which type of people does roberto benigni belong to,['Roberto Benigni'],['roberto benigni'],['roberto benigni'],[],['roberto benigni']
272,which film did christopher mcquarrie write,['Christopher McQuarrie'],['christopher mcquarrie'],['christopher mcquarrie'],[],['christopher mcquarrie']
273,Name a screenwriter.,['screenwriter'],['screenwriter'],[],[],[]
274,what is the occupation of mine mutlu,['Mine Mutlu'],['mine mutlu'],[],[],['mine mutlu']
275,Which gender is antonio pagudo?,['Antonio Pagudo'],['antonio pagudo'],['antonio pagudo'],[],['antonio pagudo']
276,What language is the film love hurts in ,['Love Hurts'],['love hurts'],[],[],[]
277,"what was richard haldane, 1st viscount haldanes place of death","['Richard Haldane, 1st Viscount Haldane']","['haldanes', 'richard haldane']","['richard haldane', 'haldanes']",[],"['richard haldane', 'haldanes']"
278,who was the child of nefertari,['Nefertari'],['nefertari'],['nefertari'],['ne'],['nefertari']
279,what football player was born in san giovanni bianco,['San Giovanni Bianco'],['san giovanni bianco'],['san giovanni bianco'],"['io', 'bi']",['san giovanni bianco']
280,Who was the director of the film titled the climax,['The Climax'],['the climax'],[],[],[]
281,Name a famous film director,['film director'],['famous film director'],[],[],[]
282,which city was elisabeth nunziato born in?,['Elisabeth Nunziato'],['elisabeth nunziato'],['elisabeth nunziato'],['el'],['elisabeth nunziato']
283,what does brian jones play,['Brian Jones'],['brian jones'],['brian jones'],[],['brian jones']
284,Where is the matanuska-susitna borough located? ,['Matanuska-Susitna Borough'],['matanuska-susitna borough'],[],"['mat', 'su']",['matanuska-susitna']
285,What is the name of a 1952 adventure film?,['adventure film'],['1952 adventure film'],[],[],[]
286,"What author wrote the book ""What Would Joey Do?""?",['What Would Joey Do?'],['would joey'],"['What Would Joey Do ?""']",['Would Joey Do'],['What Would Joey']
287,what musician was born in garfield,['Garfield'],['garfield'],['garfield'],[],['garfield']
288,what country was tracey ullman: live and exposed from?,['Tracey Ullman: Live and Exposed'],['tracey ullman'],['tracey ullman'],[],['tracey ullman']
289,What kind of a film is secrets of an actress?,['Secrets of an Actress'],"['film', 'actress']",[],[],[]
290,what city did henry gellibrand pass away in,['Henry Gellibrand'],['henry gellibrand'],['henry gellibrand'],[],['henry gellibrand']
291,what is christian gartner's country of nationality?,['Christian Gartner'],['christian gartner'],[],[],['christian gartner']
292,What's a book written by john reynolds gardiner,['John Reynolds Gardiner'],['john reynolds gardiner'],['john reynolds gardiner'],[],['john reynolds gardiner']
293,which country contains the lopburi river,['Lopburi River'],['lopburi river'],['lopburi river'],[],['lopburi']
294,what's a silent film from germany,['silent film'],['germany'],['germany'],['g'],['germany']
295,who created new wave music,['new wave'],['new wave music'],[],[],[]
296,what type of music does kati kovács perform ,['Kati Kovács'],['kati kovacs'],['kati kovács'],[],['kati kovÃ¡cs']
297,Name a famous Australian singer known for pop music?,['pop music'],['famous australian singer'],['Australian'],['Australian'],['Australian']
298,Who was born in mexico city,['Mexico City'],['mexico city'],['mexico'],[],['mexico city']
299,Which label signed trent reznor,['Trent Reznor'],['trent reznor'],['trent reznor'],[],['trent reznor']
300,what country is poochini's yard from?,"[""Poochini's Yard""]",['poochini'],['poochini'],[],['poochini']
301,whats a lower classification of  alpinia,['Alpinia'],['alpinia'],[],[],['alpinia']
302,where was tommy breen born?,['Tommy Breen'],['tommy breen'],['tommy breen'],[],['tommy breen']
303,which musical style does wretched fall under?,['Wretched'],['musical style'],[],[],['wretched']
304,Where was bernadette strachan born in Europe?,['Bernadette Strachan'],"['europe', 'bernadette strachan']","['bernadette strachan', 'Europe']",['Europe'],"['bernadette strachan', 'Europe']"
305,"What is a city within fort bend county, texas?",['Fort Bend County'],"['fort bend county', 'texas']","['fort bend', 'texas']",[],"['fort bend', 'texas']"
306,Name an indie rock artist. ,['indie rock'],['indie rock artist'],[],[],[]
307,what is howard storm's nationality ,['Howard Storm'],['howard storm'],['howard storm'],[],['howard storm']
308,who died from asphyxia?,['asphyxia'],['asphyxia'],[],[],[]
309,Name a place in the second level divisions of denmark,['Denmark'],['denmark'],['denmark'],[],['denmark']
310,who is a man born in texarkana,['Texarkana'],['texarkana'],['texarkana'],['texa'],['texarkana']
311,what country is asko sarkola from,['Asko Sarkola'],['asko sarkola'],['asko sarkola'],[],['asko sarkola']
312,What type of music was made by reno kiilerich,['Reno Kiilerich'],['reno kiilerich'],['reno kiilerich'],[],['reno kiilerich']
313,What profession did madita have?,['Madita'],['madita'],['madita'],['mad'],['madita']
314,what instrument does John Farnham play?,['John Farnham'],['john farnham'],['John Farnham'],['John Farnham'],['John Farnham']
315,which production company produced the film saving private ryan?,['Saving Private Ryan'],['saving private ryan'],[],[],['ryan']
316,what nationality is marcos tébar ,['Marcos Tébar'],['marcos tebar'],['marcos tébar'],[],['marcos tÃ©bar']
317,What is leonard proxauf's gender,['Leonard Proxauf'],['leonard proxauf'],['leonard proxauf'],[],['leonard proxauf']
318,What body of water does omaha road bridge number 15 pass over,['Omaha Road Bridge Number 15'],['omaha road bridge number 15'],['omaha'],[],['omaha']
319,is big kahuna words a single-player or multiplayer game,['Big Kahuna Words'],['big kahuna words'],[],[],['big kahuna']
320,what is the sex of william hamley?,['William Hamley'],['william hamley'],['william hamley'],[],['william hamley']
321,what is the gender of ekathotsarot,['Ekathotsarot'],[],[],['e'],['ekathotsarot']
322,what time zone is trenton located in?,['Trenton'],['trenton'],['trenton'],[],['trenton']
323,What's the taxonomic rank of aconitum,['Aconitum'],['aconitum'],[],[],[]
324,which war did klaus-degenhard schmidt attned,['Klaus-Degenhard Schmidt'],['klaus-degenhard schmidt'],['klaus-degenhard schmidt'],['k'],['klaus-degenhard schmidt']
325,what does david wiesner do for a living,['David Wiesner'],['david wiesner'],['david wiesner'],['da'],['david wiesner']
326,What is Gene Taylor's birthplace?,['Gene Taylor'],['gene taylor'],['Gene Taylor'],['Gene Taylor'],['Gene Taylor']
327,Who is a child of pauline vanier,['Pauline Vanier'],['pauline vanier'],['pauline vanier'],[],['pauline vanier']
328,What got its name from hakaru hashimoto,['Hakaru Hashimoto'],['hakaru hashimoto'],[],['ha'],['hakaru hashimoto']
329,Who directed the movie without you i'm nothing?,"[""Without You I'm Nothing""]",['nothing'],[],[],[]
330,What movie did jonathan davis write the score for,['Jonathan Davis'],['jonathan davis'],['jonathan davis'],['j'],['jonathan davis']
331,what language was kamikaze 1989 filmed in,['Kamikaze 1989'],['kamikaze 1989'],[],[],['kamikaze 1989']
332,what kind of music is featured on the album wild. club'in,"[""Wild. Club'in""]","['album wild', ""club'in""]",[],[],"['wild.', ""'in""]"
333,who directed so evil my love,['So Evil My Love'],"['so', 'evil love']",[],[],[]
334,is orpheus signed to mgm records or capital records,['Orpheus'],"['mgm records or capital records', 'orpheus']",[],[],"['orpheus', 'mgm', 'capital']"
335,what is the nationality of shan serafin?,['Shan Serafin'],['shan serafin'],['shan serafin'],[],['shan serafin']
336,what nationality is karin svensson smith,['Karin Svensson Smith'],['karin svensson smith'],['karin svensson smith'],['ka'],['karin svensson smith']
337,who plays defender position for AEP Paphos F.C.?,['defender'],['aep paphos f.c.'],['AEP Paphos F.C.'],['AEP Paphos F.C.'],['AEP Paphos F.C']
338,What is a program that leonard b. stern created?,['Leonard B. Stern'],['leonard b. stern'],['leonard b. stern'],[],['leonard b. stern']
339,what position does kim hyeung-bum play ,['Kim Hyeung-bum'],['kim hyeung-bum'],['kim hyeung-bum'],[],['kim hyeung-bum']
340,what is responsible for paul newlan's death,['Paul Newlan'],['paul newlan'],['paul newlan'],[],['paul newlan']
341,what kind of music does pete briggs play,['Pete Briggs'],['pete briggs'],['pete briggs'],[],['pete briggs']
342,WHat position does juan pablo garat play,['Juan Pablo Garat'],['juan pablo garat'],['juan pablo garat'],[],['juan pablo garat']
343,Where in devon did hannah cowley die,['Hannah Cowley'],"['devon', 'hannah cowley']","['devon', 'hannah cowley']",[],"['devon', 'hannah cowley']"
344,What company developed the game gex: enter the gecko,['Gex: Enter the Gecko'],['gex: enter the gecko'],[],[],['gex: enter the gecko']
345,what is rossy's gender?,['Rossy'],['rossy gender'],['rossy'],[],['rossy']
346,What country is the movie dp75: tartina city from,['DP75: Tartina City'],['tartina city'],[],[],['dp75: tartina city']
347,what genre of music is the album  it was all a dream,['It Was All a Dream'],"['music', 'album', 'dream']",[],[],[]
348,What is afonso Álvares's profession?,['Afonso Álvares'],['afonso alvares'],['afonso Álvares'],['afonso Álvares'],['afonso Ã ģlvares']
349,what type of music is on ricochet?,['Ricochet'],['ricochet'],[],[],[]
350,which city did leo erdody die ,['Leo Erdody'],['leo erdody'],['leo erdody'],[],['leo erdody']
351,what nationality is jorge i. dominguez,['Jorge I. Dominguez'],['jorge i. dominguez'],['jorge i. dominguez'],[],['jorge i. dominguez']
352,Which language is the film terminal city ricochet in,['Terminal City Ricochet'],['terminal city ricochet'],[],[],[]
353,Which county is rancho chico located in,['Rancho Chico'],['rancho chico'],['rancho chico'],[],['rancho chico']
354,what is cai chusheng's place of birth?,['Cai Chusheng'],['cai chusheng'],['cai chusheng'],[],['cai chusheng']
355,What city did lucas demare die in,['Lucas Demare'],['lucas demare'],['lucas demare'],[],['lucas demare']
356,Who's a person born in sydney?,['Sydney'],['sydney'],['sydney'],['sydney'],['sydney']
357,where did jay robinson die,['Jay Robinson'],['jay robinson'],['jay robinson'],[],['jay robinson']
358,Who is from skopje,['Skopje'],['skopje'],['skopje'],['skopje'],['skopje']
359,Who is someone that was born in stockholm,['Stockholm'],['stockholm'],['stockholm'],['stock'],['stockholm']
360,What nationality is k. rajagopal,['K. Rajagopal'],"['rajagopal', 'k']",['k. rajagopal'],[],['k. rajagopal']
361,What genre does the everly brothers sing great country hits represent,['The Everly Brothers Sing Great Country Hits'],"['everly brothers', 'great country hits']",['everly brothers'],[],['everly brothers']
362,what position does paul donnelly play?,['Paul Donnelly'],['paul donnelly'],['paul donnelly'],[],['paul donnelly']
363,Name someone who died of cancer,['cancer'],"['someone', 'cancer']",[],[],[]
364,what kind of movie is corn,['Corn'],"['movie', 'corn']",[],[],[]
365,What is captain america an adaptation of,['Captain America'],['captain america'],['captain america'],[],['captain america']
366,what is the country of origin of the tv show billable hours,['Billable Hours'],['tv show billable hours'],[],[],['billable hours']
367,Who was the artist behind mylo xyloto,['Mylo Xyloto'],['mylo xyloto'],[],['mylo x'],['mylo xyloto']
368,what position does floyd bannister play,['Floyd Bannister'],['floyd bannister'],[],[],['floyd bannister']
369,where was hans günther van allen born ,['Hans Günther van Allen'],['hans gunther van allen'],['hans günther van allen'],['her'],['hans gÃ¼nther van allen']
370,WHo did the music for the film sachché ká bol-bálá,['Sachché Ká Bol-Bálá'],"['bala', 'sachche ka bol']",['sachché ká bol-bálá'],['W'],"['WHo', 'sachchÃ© kÃ¡ bol-bÃ¡lÃ¡']"
371,after the truth is in what language,['After the Truth'],"['truth', 'language']",[],[],[]
372,who was born in wokingham?,['Wokingham'],['wokingham'],['wokingham'],['w'],['wokingham']
373,who was the author of the end of eternity,['The End of Eternity'],['the end of eternity'],[],[],[]
374,what celestial body does 4689 donn orbit?,['4689 Donn'],"['celestial body', '4689 donn orbit']",[],[],['donn']
375,Who produced the album streets...,['Streets...'],['album streets'],[],[],[]
376,What is the gender of patsy rowlands?,['Patsy Rowlands'],['patsy rowlands'],[],[],['patsy rowlands']
377,what was the language spoken in the film intersexion?,['Intersexion'],['film intersexion'],[],[],['intersexion']
378,who plays a pitcher in baseball,['pitcher'],['baseball'],[],[],[]
