,question,entities,MuHeQA_NER,MuHeQA_PoS,MuHeQA_NER+PoS,FLERT,BERT,RoBERTA,MuHeQA_FLERT
169,What nation is jerry wald from?,['Jerry Wald'],['jerry wald'],['nation'],['jerry wald'],['jerry wald'],[],['jerry wald'],['jerry wald']
170,which genre does the title ancient evil: scream of the mummy fall under,['Ancient Evil: Scream of the Mummy'],['ancient evil: scream of the mummy'],"['genre', 'title ancient evil', 'mummy']",['ancient evil: scream of the mummy'],['ancient evil : scream of the mummy fall'],[],"['ancient evil', 'scream of the mummy']",['ancient evil : scream of the mummy fall']
171,who developed the computer videogame empire earth,['Empire Earth'],['empire earth'],['computer videogame empire earth'],['computer videogame empire earth'],[],[],['empire earth'],['computer videogame empire earth']
172,"what county is  east peoria, illinois in ",['East Peoria'],"['east peoria', 'illinois']","['county', 'east peoria']","['east peoria', 'illinois']","['east peoria', 'illinois']",[],"['east peoria', 'illinois']","['east peoria', 'illinois']"
173,who's a kung fu star from hong kong,['Hong Kong'],"['fu', 'hong kong']",['hong kong'],"['fu', 'hong kong']",['hong kong'],[],['hong kong'],['hong kong']
174,What's a gameplay mode in silhouette mirage,['Silhouette Mirage'],['silhouette mirage'],['silhouette mirage'],['silhouette mirage'],[],[],[],['silhouette mirage']
175,which european nation is days and clouds filmed in?,['Days and Clouds'],['european'],"['european nation', 'days and clouds']",['european nation'],['european'],[],['european'],['european nation']
176,Which canadian city was william southam born in,['William Southam'],"['canadian', 'william southam']","['canadian city', 'william southam']","['william southam', 'canadian city']","['canadian', 'william southam']",[],"['canadian', 'william southam']","['william southam', 'canadian city']"
177,What is the nationality of vladimir baksheyev?,['Vladimir Baksheyev'],['vladimir baksheyev'],['vladimir baksheyev'],['vladimir baksheyev'],['vladimir baksheyev'],['vladimir baksheyev'],['vladimir baksheyev'],['vladimir baksheyev']
178,what is the gender of paul phoenix,['Paul Phoenix'],['paul phoenix'],['paul phoenix'],['paul phoenix'],['paul phoenix'],[],['paul phoenix'],['paul phoenix']
179,which position does ray lewis play,['Ray Lewis'],['ray lewis'],"['position', 'lewis']",['ray lewis'],['ray lewis'],[],['ray lewis'],['ray lewis']
180,what language is pati parmeshwar in ,['Pati Parmeshwar'],['pati par'],['language'],['pati par'],[],[],['pati parmeshwar'],['language']
181,What genre of music is dj nelson?,['Nelson Díaz Martinez'],['dj nelson'],"['music', 'dj nelson']",['dj nelson'],[],[],['dj nelson'],"['music', 'dj nelson']"
182,What is the name of the crater on the moon named for georg ohm?,['Georg Simon Ohm'],"['moon', 'georg ohm']","['moon', 'georg']","['moon', 'georg ohm']",['georg ohm'],[],['georg ohm'],['georg ohm']
183,what's a eurodance by ian van dahl,['Eurodance'],"[""what's a eurodance"", 'ian van dahl']",['ian van dahl'],"['ian van dahl', ""what's a eurodance""]","['a eurodance', 'ian van dahl']",['an van da'],['ian van dahl'],"['a eurodance', 'ian van dahl']"
184,where was harvey lowe given birth,['Harvey Lowe'],['harvey lowe'],"['harvey lowe', 'birth']",['harvey lowe'],['harvey lowe'],[],['harvey lowe'],['harvey lowe']
185,Who was the developer of lego creator: knights kingdom?,"[""Lego Creator: Knights' Kingdom""]","['lego', 'knights kingdom']","['lego creator', 'knights kingdom']","['lego creator', 'knights kingdom']",[],[],['lego creator: knights kingdom'],"['lego creator', 'knights kingdom']"
186,What first level division is in the Dominican Republic?,['Dominican Republic'],['dominican republic'],"['first level division', 'Dominican Republic']",['dominican republic'],['Dominican Republic'],['Dominican Republic'],['Dominican Republic'],['Dominican Republic']
187,which english novelist wrote the work payment deferred?,['Payment Deferred'],['english'],"['english novelist', 'work payment']",['english novelist'],['english'],[],['english'],['english novelist']
188,What is alain sutter position,['Alain Sutter'],['alain sutter'],['alain sutter position'],['alain sutter position'],['alain'],[],['alain sutter'],['alain sutter position']
189,what language is road house in?,['Road House'],[],['language'],['language'],[],[],['road house'],['language']
190,Which position in football did lee ho-jin play,['Lee Ho-jin'],['lee ho-jin'],"['football', 'ho-jin']",['lee ho-jin'],['lee ho-jin'],[],['lee ho-jin'],['lee ho-jin']
191,what city did georg baselt die in,['Georg Baselt'],['georg baselt'],"['city', 'georg baselt']",['georg baselt'],['georg baselt'],[],['georg baselt'],['georg baselt']
192,what does henry nielsen do,['Henry Nielsen'],['henry nielsen'],['henry nielsen'],['henry nielsen'],['henry nielsen'],[],['henry nielsen'],['henry nielsen']
193,Who composed the music for the salamander?,['The Salamander'],['the salamander'],['salamander'],['the salamander'],[],[],[],['salamander']
194,who discovered 5551 glikson,['5551 Glikson'],['glikson'],['5551 glikson'],['5551 glikson'],[],[],['glikson'],['5551 glikson']
195,what is dave henderson ethnicity?,['Dave Henderson'],['dave henderson'],['dave henderson ethnicity'],['dave henderson ethnicity'],['dave henderson'],[],['dave henderson'],['dave henderson ethnicity']
196,birth of a golem is a film directed by what notable director,['Birth of a Golem'],['birth of a golem'],"['golem', 'film', 'notable director']",['birth of a golem'],['birth of a golem'],[],['birth of a golem'],['birth of a golem']
197,which city did carl-alfred schumacher die,['Carl-Alfred Schumacher'],['carl-alfred schumacher'],"['city', 'carl-alfred schumacher']",['carl-alfred schumacher'],['carl-alfred schumacher'],['al'],['carl-alfred schumacher'],['carl-alfred schumacher']
198,which city was ezekiel f. chambers born ,['Ezekiel F. Chambers'],['ezekiel f. chambers'],"['city', 'ezekiel f. chambers']",['ezekiel f. chambers'],['ezekiel f. chambers'],[],['ezekiel f. chambers'],['ezekiel f. chambers']
199,how is magnant played ,['Magnant'],['magnant'],['magnant'],['magnant'],[],[],['magnant'],['magnant']
200,which genre does chungking express belong to,['Chungking Express'],['chungking express'],"['genre', 'express']",['chungking express'],[],[],['chungking express'],"['genre', 'express']"
201,which city was gail davis born,['Gail Davis'],['gail davis'],"['city', 'gail']",['gail davis'],['gail davis'],[],['gail davis'],['gail davis']
202,what style of music is the best of the stylistics released in?,['The Best of The Stylistics'],['stylistics'],"['music', 'stylistics']",['stylistics'],[],[],[],"['music', 'stylistics']"
203,who was a famous person born in gwalior,['Gwalior'],['gwalior'],"['famous person', 'gwalior']",['gwalior'],['gwalior'],['gwalior'],['gwalior'],['gwalior']
204,what gender is the woman carolin fink,['Carolin Fink'],['carolin fink'],"['gender', 'woman carolin fink']",['woman carolin fink'],['carolin fink'],[],['carolin fink'],['woman carolin fink']
205,What is thomas Östros' profession?,['Thomas Östros'],['thomas ostros'],"[""thomas Östros' profession""]","[""thomas ostros' profession""]","[""thomas Östros'""]",['Östro'],['thomas Ãĸstros'],"[""thomas Östros'""]"
206,what country is porsuk river in,['Porsuk River'],['porsuk'],['country'],['porsuk'],['porsuk river'],[],['porsuk'],['porsuk river']
207,What is an example of a single-player video game,['single-player video game'],[],['single-player video game'],['single-player video game'],[],[],[],['single-player video game']
208,what kind of music is christy carlson romano,['Christy Carlson Romano'],['christy carlson romano'],"['music', 'christy carlson romano']",['christy carlson romano'],['christy carlson'],[],['christy carlson romano'],['christy carlson romano']
209,Who wrote the case of the toxic spell dump,['The Case of the Toxic Spell Dump'],[],['toxic spell dump'],['toxic spell dump'],[],[],[],['toxic spell dump']
210,What is an album by phil manzanera?,['Phil Manzanera'],['phil manzanera'],['phil manzanera'],['phil manzanera'],['phil manzanera'],[],['phil manzanera'],['phil manzanera']
211,"Where was john f. mulholland, jr. born?","['John F. Mulholland, Jr.']","['john f. mulholland, jr']","['john f. mulholland', 'jr.']","['john f. mulholland, jr']",['john f. mulholland'],['hol'],"['john f. mulholland', '.']",['john f. mulholland']
212,what asteroid group is 43706 iphiklos part of ,['43706 Iphiklos'],['iphiklos'],['asteroid group'],['iphiklos'],[],[],['iphiklos'],['asteroid group']
213,What language is used for the movie the last good time,['The Last Good Time'],['the last good time'],"['language', 'movie', 'last good time']",['the last good time'],[],[],[],"['language', 'movie', 'last good time']"
214,who directed the spanish gypsy,['The Spanish Gypsy'],['spanish'],['spanish gypsy'],['spanish gypsy'],['spanish'],[],['spanish'],['spanish gypsy']
215,what country is plötzensee located in,['Plötzensee'],['plotzensee'],"['country', 'plötzensee']",['plotzensee'],[],['ense'],['plÃ¶tzensee'],"['country', 'plotzensee']"
216,where did prince arthur of connaught die ,['Prince Arthur of Connaught'],"['prince arthur', 'connaught']",['connaught'],"['prince arthur', 'connaught']",['arthur of connaught'],[],"['arthur', 'connaught']",['arthur of connaught']
217,where in england was rik mayall's place of birth?,['Rik Mayall'],"['england', 'rik mayall']","['england', 'rik mayall', 'birth']","['england', 'rik mayall']","['england', 'rik mayall']",[],"['england', 'rik mayall']","['england', 'rik mayall']"
218,Who is the famous father of jack carter,['Jack Carter'],['jack carter'],['jack carter'],['jack carter'],['jack carter'],[],['jack carter'],['jack carter']
219,which band made on earth to make the numbers up,['On Earth to Make the Numbers Up'],['earth'],"['band', 'earth', 'numbers']",['earth'],[],[],[],"['band', 'earth', 'numbers']"
220,what is the nationality of louise latimer?,['Louise Latimer'],['louise latimer'],['louise latimer'],['louise latimer'],['louise latimer'],[],['louise latimer'],['louise latimer']
221,where was harold gore's birthplace,['Harold Gore'],['harold gore'],"['harold gore', 'birthplace']",['harold gore'],['harold gore'],[],['harold gore'],['harold gore']
222,which country was magic man made for,['Magic Man'],['man made'],"['country', 'magic man']",['man made'],[],[],[],"['country', 'magic man']"
223,who directed michael jackson: number ones ,['Number Ones'],"['michael jackson', 'number ones']","['michael jackson', 'number ones']","['michael jackson', 'number ones']",['michael jackson'],[],['michael jackson'],['michael jackson']
224,what is the country from which james c. dobbin nationality is derived,['James C. Dobbin'],['james c. dobbin'],['james c. dobbin nationality'],['james c. dobbin nationality'],['james c. dobbin'],[],['james c. dobbin'],['james c. dobbin nationality']
225,Who is the artist of the album early music?,['Early Music'],['early music'],['album early music'],['album early music'],[],[],[],['album early music']
226,Who produced the ladykillers?,['The Ladykillers'],['ladykillers'],['ladykillers'],['ladykillers'],[],[],[],['ladykillers']
227,Is ricardo delgado male of female,['Ricardo Delgado'],['ricardo delgado'],[],['ricardo delgado'],['ricardo delgado'],[],['ricardo delgado'],['ricardo delgado']
228,Which movie did a time to love and a time to die direct?,['A Time to Love and a Time to Die'],"['a time to love', 'a time to die']","['movie', 'time', 'and time']","['a time to die', 'a time to love']",[],[],[],"['movie', 'time', 'and time']"
229,what is constantinos mina gender,['Constantinos Mina'],['constantinos mina'],['gender'],['constantinos mina'],['constantinos mina'],[],['constantinos mina'],['constantinos mina']
230,what killed tom held,['Tom Held'],['tom'],['tom'],['tom'],[],[],['tom held'],['tom']
231,Who is the artist off the album battle for the sun,['Battle for the Sun'],['battle for the sun'],['sun'],['battle for the sun'],[],[],['battle for the sun'],['sun']
232,Where was pierre samuel du pont de nemours' place of birth?,['Pierre Samuel du Pont de Nemours'],['pierre samuel du pont de nemours'],['birth'],['pierre samuel du pont de nemours'],"['pierre samuel', ""pont de nemours'""]",[],['pierre samuel du pont de nemours'],"[""pont de nemours'"", 'pierre samuel']"
233,What kind of music is dirty work,['Dirty Work'],[],"['music', 'dirty work']","['music', 'dirty work']",[],[],[],"['music', 'dirty work']"
234,where did archie maclaren pass away,['Archie MacLaren'],['archie maclaren'],['archie maclaren'],['archie maclaren'],['archie maclaren'],[],['archie maclaren'],['archie maclaren']
235,Where was yuriy furta birthed,['Yuriy Furta'],['yuriy furta'],['yuriy furta'],['yuriy furta'],['yuriy furta'],[],['yuriy furta'],['yuriy furta']
236,Which Italian music composer was born in gaeta?,['Gaeta'],"['italian', 'gaeta']","['Italian music composer', 'gaeta']","['gaeta', 'italian music composer']","['Italian', 'gaeta']","['Italian', 'g']","['Italian', 'gaeta']","['gaeta', 'Italian']"
237,What position does karsten smith play,['Karsten Smith'],['karsten smith'],"['position', 'karsten smith']",['karsten smith'],['karsten smith'],[],['karsten smith'],['karsten smith']
238,What is ville vänni's gender,['Ville Vänni'],['ville vanni'],"['ville vänni', 'gender']",['ville vanni'],['ville vänni'],[],['ville vÃ¤nni'],['ville vänni']
239,what is the name of a single-player game,['single-player video game'],[],['single-player game'],['single-player game'],[],[],[],['single-player game']
240,what country released gintama: the movie,['Gintama: The Movie'],['gintama: the movie'],"['country', 'gintama', 'movie']",['gintama: the movie'],['gintama'],[],['gintama'],['gintama']
241,what is the genre of the film kalyug,['Kalyug'],['kalyug'],['film kalyug'],['film kalyug'],[],[],['kalyug'],['film kalyug']
242,who is the artist on the album say it like you mean it,['Say It Like You Mean It'],[],['album'],['album'],[],[],[],['album']
243,What italian writer is credited on the church?,['The Church'],['italian'],"['italian writer', 'church']",['italian writer'],['italian'],[],['italian'],['italian writer']
244,what game is a platform game?,['platform game'],[],"['game', 'platform game']","['game', 'platform game']",[],[],[],"['game', 'platform game']"
245,what's a second level division in brazil,['Brazil'],['brazil'],['brazil'],['brazil'],['brazil'],[],['brazil'],['brazil']
246,which country contains valencian community,['Land of Valencia'],['valencian community'],"['country', 'valencian community']",['valencian community'],['valencian'],[],['valencian'],['valencian community']
